name,address,gender,furnished,parking_area,kitchen_room,wifi,guest_room,laundry,rooftop,description,room_index,room_name,room_size,room_info,room_facilities,room_price
Kost Ibu Ani Coblong Bandung,"Jl. Imperial 2 No.7, Dago Asri, Kecamatan Coblong, Kota Bandung, Jawa Barat 40135, Indonesia",Kost Putri,Fully Furnished,No,Yes,No,No,No,No,"Bangunan Baru Renovasi, Bersih, Udaranya Dingin Alami.Fasilitas internet kabel, Wifi, Gas buat masak, Air Minum, TV, Water Heater, Laundry",0,Standard,Luas kamar: 12m2,"1 Tempat tidur (100x200) 1 orang, Termasuk listrik, Terdapat Balkon, Jendela kearah luar, Kamar mandi dalam, Shower, Pemanas air","Kursi, Lemari, Meja",Rp 1.600.000/bulan
Kost Griya Sidiq Jl Cisitu Indah Coblong Bandung,Komp Griya Sidiq Jl Cisitu Indah Dalam 5 no 76 A Rt07 RW 04 Dago Bandung,Kost Putra,Not Fully Furnished,No,Yes,Yes,No,No,No,,0,Standard,Luas kamar: 12m2,"1 Tempat tidur (100x200) 1 orang, Termasuk listrik, 8 Kamar mandi, Kamar mandi dalam, Shower, Wastafel, Pemanas air","Kursi, Lemari, Meja, Sprei",Rp 1.600.000/bulan
Tamsis 32 Gatot Subroto Bandung,"Jl. Taman Siswa No.32, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat",Kost Putri,Fully Furnished,No,Yes,Yes,No,No,No,"Sedang mencari kost putri di Gatot Subroto Bandung? Kamu bisa cek Tamsis 32 Gatot Subroto Bandung. Kost Gatot Subroto Bandung ini berada di tengah perumahan lama yang berada di Jalan Taman Siswa. Suasananya tenang dengan fasilitas publik yang tergolong lengkap sehingga pas buat mahasiswi dan karyawati.Kost Gatot Subroto Bandung ini strategis ke gedung perkantoran di Jalan Asia Afrika yang bisa dicapai dalam 7 menit berkendara, sementara area pertokoan dan bisnis Kosambi hanya butuh waktu sekitar 8 menit saja.Jika kamu mahasiswi Universitas Pasundan, maka hanya butuh waktu 6 menit berkendara untuk ke kampus. Tamsis 32 Gatot Subroto Bandung juga tidak jauh dari Universitas Langlangbuana yang berjarak 4 menit berkendara atau 13 menit berjalan kaki.Kamu nggak perlu takut kekurangan pilihan tempat makan karena di sekitar kost Gatot Subroto ini banyak kafe, resto, bahkan hotel. Misalnya Warung Lotek Macan, Bakso Rusuk Joss Bandung, Dapoer Pandan Wangi Patuha, Batagor Riri, Jati Kopi, Marka Coffee & Kitchen, hingga Caballus Bar & Resto yang bisa didatangi nggak sampai 10 menit berjalan kaki.Selain ke Pasar Kosambi, kamu juga bisa pergi ke daerah pertokoan Alun Alun Bandung yang berjarak 7 menit berkendara, atau menuju TransMart TSM Bandung berjarak 9 menit dari kost putri di Gatot Subroto Bandung ini untuk memenuhi kebutuhan belanja harian atau bulanan.Semua kamar di Tamsis 32 Gatot Subroto Bandung sudah berperabot lengkap dengan kamar mandi dalam dan Wi-Fi. Ada fasilitas jasa pembersihan kamar, area komunal, dapur bersama, dining area, dan tempat parkir. Kamu bisa langsung pindah ke sini tanpa perlu membawa banyak barang. Yuk, tinggal di Rukita!Cari kost lain di Bandung",0,Pocket Single A,Luas kamar: 7.40m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, 1 Kamar mandi, Kamar mandi dalam, Shower","Kursi, Lemari, Meja, Sprei",Rp 1.400.000/bulan
Tamsis 32 Gatot Subroto Bandung,"Jl. Taman Siswa No.32, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat",Kost Putri,Fully Furnished,No,Yes,Yes,No,No,No,"Sedang mencari kost putri di Gatot Subroto Bandung? Kamu bisa cek Tamsis 32 Gatot Subroto Bandung. Kost Gatot Subroto Bandung ini berada di tengah perumahan lama yang berada di Jalan Taman Siswa. Suasananya tenang dengan fasilitas publik yang tergolong lengkap sehingga pas buat mahasiswi dan karyawati.Kost Gatot Subroto Bandung ini strategis ke gedung perkantoran di Jalan Asia Afrika yang bisa dicapai dalam 7 menit berkendara, sementara area pertokoan dan bisnis Kosambi hanya butuh waktu sekitar 8 menit saja.Jika kamu mahasiswi Universitas Pasundan, maka hanya butuh waktu 6 menit berkendara untuk ke kampus. Tamsis 32 Gatot Subroto Bandung juga tidak jauh dari Universitas Langlangbuana yang berjarak 4 menit berkendara atau 13 menit berjalan kaki.Kamu nggak perlu takut kekurangan pilihan tempat makan karena di sekitar kost Gatot Subroto ini banyak kafe, resto, bahkan hotel. Misalnya Warung Lotek Macan, Bakso Rusuk Joss Bandung, Dapoer Pandan Wangi Patuha, Batagor Riri, Jati Kopi, Marka Coffee & Kitchen, hingga Caballus Bar & Resto yang bisa didatangi nggak sampai 10 menit berjalan kaki.Selain ke Pasar Kosambi, kamu juga bisa pergi ke daerah pertokoan Alun Alun Bandung yang berjarak 7 menit berkendara, atau menuju TransMart TSM Bandung berjarak 9 menit dari kost putri di Gatot Subroto Bandung ini untuk memenuhi kebutuhan belanja harian atau bulanan.Semua kamar di Tamsis 32 Gatot Subroto Bandung sudah berperabot lengkap dengan kamar mandi dalam dan Wi-Fi. Ada fasilitas jasa pembersihan kamar, area komunal, dapur bersama, dining area, dan tempat parkir. Kamu bisa langsung pindah ke sini tanpa perlu membawa banyak barang. Yuk, tinggal di Rukita!Cari kost lain di Bandung",1,Compact Single A,Luas kamar: 8.10m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, 1 Kamar mandi, Kamar mandi dalam, Shower","Kursi, Lemari, Meja, Sprei",Rp 2.000.000/bulan
Tamsis 32 Gatot Subroto Bandung,"Jl. Taman Siswa No.32, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat",Kost Putri,Fully Furnished,No,Yes,Yes,No,No,No,"Sedang mencari kost putri di Gatot Subroto Bandung? Kamu bisa cek Tamsis 32 Gatot Subroto Bandung. Kost Gatot Subroto Bandung ini berada di tengah perumahan lama yang berada di Jalan Taman Siswa. Suasananya tenang dengan fasilitas publik yang tergolong lengkap sehingga pas buat mahasiswi dan karyawati.Kost Gatot Subroto Bandung ini strategis ke gedung perkantoran di Jalan Asia Afrika yang bisa dicapai dalam 7 menit berkendara, sementara area pertokoan dan bisnis Kosambi hanya butuh waktu sekitar 8 menit saja.Jika kamu mahasiswi Universitas Pasundan, maka hanya butuh waktu 6 menit berkendara untuk ke kampus. Tamsis 32 Gatot Subroto Bandung juga tidak jauh dari Universitas Langlangbuana yang berjarak 4 menit berkendara atau 13 menit berjalan kaki.Kamu nggak perlu takut kekurangan pilihan tempat makan karena di sekitar kost Gatot Subroto ini banyak kafe, resto, bahkan hotel. Misalnya Warung Lotek Macan, Bakso Rusuk Joss Bandung, Dapoer Pandan Wangi Patuha, Batagor Riri, Jati Kopi, Marka Coffee & Kitchen, hingga Caballus Bar & Resto yang bisa didatangi nggak sampai 10 menit berjalan kaki.Selain ke Pasar Kosambi, kamu juga bisa pergi ke daerah pertokoan Alun Alun Bandung yang berjarak 7 menit berkendara, atau menuju TransMart TSM Bandung berjarak 9 menit dari kost putri di Gatot Subroto Bandung ini untuk memenuhi kebutuhan belanja harian atau bulanan.Semua kamar di Tamsis 32 Gatot Subroto Bandung sudah berperabot lengkap dengan kamar mandi dalam dan Wi-Fi. Ada fasilitas jasa pembersihan kamar, area komunal, dapur bersama, dining area, dan tempat parkir. Kamu bisa langsung pindah ke sini tanpa perlu membawa banyak barang. Yuk, tinggal di Rukita!Cari kost lain di Bandung",2,Regular Single A,Luas kamar: 10.50m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, 1 Kamar mandi, Kamar mandi dalam, Shower","AC, Kursi, Lemari, Meja, Sprei",Rp 2.500.000/bulan
Tamsis 32 Gatot Subroto Bandung,"Jl. Taman Siswa No.32, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat",Kost Putri,Fully Furnished,No,Yes,Yes,No,No,No,"Sedang mencari kost putri di Gatot Subroto Bandung? Kamu bisa cek Tamsis 32 Gatot Subroto Bandung. Kost Gatot Subroto Bandung ini berada di tengah perumahan lama yang berada di Jalan Taman Siswa. Suasananya tenang dengan fasilitas publik yang tergolong lengkap sehingga pas buat mahasiswi dan karyawati.Kost Gatot Subroto Bandung ini strategis ke gedung perkantoran di Jalan Asia Afrika yang bisa dicapai dalam 7 menit berkendara, sementara area pertokoan dan bisnis Kosambi hanya butuh waktu sekitar 8 menit saja.Jika kamu mahasiswi Universitas Pasundan, maka hanya butuh waktu 6 menit berkendara untuk ke kampus. Tamsis 32 Gatot Subroto Bandung juga tidak jauh dari Universitas Langlangbuana yang berjarak 4 menit berkendara atau 13 menit berjalan kaki.Kamu nggak perlu takut kekurangan pilihan tempat makan karena di sekitar kost Gatot Subroto ini banyak kafe, resto, bahkan hotel. Misalnya Warung Lotek Macan, Bakso Rusuk Joss Bandung, Dapoer Pandan Wangi Patuha, Batagor Riri, Jati Kopi, Marka Coffee & Kitchen, hingga Caballus Bar & Resto yang bisa didatangi nggak sampai 10 menit berjalan kaki.Selain ke Pasar Kosambi, kamu juga bisa pergi ke daerah pertokoan Alun Alun Bandung yang berjarak 7 menit berkendara, atau menuju TransMart TSM Bandung berjarak 9 menit dari kost putri di Gatot Subroto Bandung ini untuk memenuhi kebutuhan belanja harian atau bulanan.Semua kamar di Tamsis 32 Gatot Subroto Bandung sudah berperabot lengkap dengan kamar mandi dalam dan Wi-Fi. Ada fasilitas jasa pembersihan kamar, area komunal, dapur bersama, dining area, dan tempat parkir. Kamu bisa langsung pindah ke sini tanpa perlu membawa banyak barang. Yuk, tinggal di Rukita!Cari kost lain di Bandung",3,Superior Queen A,Luas kamar: 13.70m2,"1 Tempat tidur (160x200) 1 orang, Tidak termasuk listrik, Jendela kearah luar, 1 Kamar mandi, Kamar mandi dalam, Shower","AC, Kursi, Lemari, Meja, Sprei",Rp 2.650.000/bulan
Tamsis 32 Gatot Subroto Bandung,"Jl. Taman Siswa No.32, Malabar, Kec. Lengkong, Kota Bandung, Jawa Barat",Kost Putri,Fully Furnished,No,Yes,Yes,No,No,No,"Sedang mencari kost putri di Gatot Subroto Bandung? Kamu bisa cek Tamsis 32 Gatot Subroto Bandung. Kost Gatot Subroto Bandung ini berada di tengah perumahan lama yang berada di Jalan Taman Siswa. Suasananya tenang dengan fasilitas publik yang tergolong lengkap sehingga pas buat mahasiswi dan karyawati.Kost Gatot Subroto Bandung ini strategis ke gedung perkantoran di Jalan Asia Afrika yang bisa dicapai dalam 7 menit berkendara, sementara area pertokoan dan bisnis Kosambi hanya butuh waktu sekitar 8 menit saja.Jika kamu mahasiswi Universitas Pasundan, maka hanya butuh waktu 6 menit berkendara untuk ke kampus. Tamsis 32 Gatot Subroto Bandung juga tidak jauh dari Universitas Langlangbuana yang berjarak 4 menit berkendara atau 13 menit berjalan kaki.Kamu nggak perlu takut kekurangan pilihan tempat makan karena di sekitar kost Gatot Subroto ini banyak kafe, resto, bahkan hotel. Misalnya Warung Lotek Macan, Bakso Rusuk Joss Bandung, Dapoer Pandan Wangi Patuha, Batagor Riri, Jati Kopi, Marka Coffee & Kitchen, hingga Caballus Bar & Resto yang bisa didatangi nggak sampai 10 menit berjalan kaki.Selain ke Pasar Kosambi, kamu juga bisa pergi ke daerah pertokoan Alun Alun Bandung yang berjarak 7 menit berkendara, atau menuju TransMart TSM Bandung berjarak 9 menit dari kost putri di Gatot Subroto Bandung ini untuk memenuhi kebutuhan belanja harian atau bulanan.Semua kamar di Tamsis 32 Gatot Subroto Bandung sudah berperabot lengkap dengan kamar mandi dalam dan Wi-Fi. Ada fasilitas jasa pembersihan kamar, area komunal, dapur bersama, dining area, dan tempat parkir. Kamu bisa langsung pindah ke sini tanpa perlu membawa banyak barang. Yuk, tinggal di Rukita!Cari kost lain di Bandung",4,Pocket Single B,Luas kamar: 7.4m2,"1 Tempat tidur (100x200) 1 orang, Tidak termasuk listrik, 1 Kamar mandi, Kamar mandi dalam, Shower","AC, Kursi, Lemari, Meja, Sprei",Rp 1.600.000/bulan
Rulli House Dipatiukur Bandung,"Jl. Sukasari, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat",Kost Campur,Fully Furnished,No,No,Yes,No,No,No,"Nggak perlu panik cari kost dekat kampus lagi kalau kuliah di Bandung. Cek Rulli House Dipatiukur Bandung yang strategis ke kampus ternama di Bandung.Universitas Padjajaran (UNPAD) Dipatiukur hanya 2 menit berkendara, sementara mencapai ITB berjarak 6 menit dari kost di Bandung ini. Mahasiswa Universitas Komputer Indonesia (UNIKOM) bisa mencapai kampus sekitar 4 menit berkendara atau 12 menit berjalan kaki.Cari makan juga nggak akan bingung karena banyak pilihan kaki lima hingga resto kekinian. Ada Bubur Mang Engkus, Ayam Pedho Sukasari, McDonald’s Simpang Dago, hingga Toko You yang legendaris berjarak nggak sampai 10 menit berkendara.Rulli House Dipatiukur Bandung punya kamar berfurnitur lengkap dengan kamar mandi dalam, serta fasilitas dapur bersama, parkir motor, hingga laundry. Kamu tinggal bawa koper berisi pakaian saja kalau pindah ke kost Dipatiukur Bandung ini.Yuk, booking kamarmu sekarang untuk ngekost #SenyamanDiRumah!Cari kost lain di Bandung.",0,Compact Single A,"Luas kamar: 9,80m2","1 Tempat tidur (90x200) 1 orang, Termasuk listrik, 1 Kamar mandi, Kamar mandi dalam, Shower, Wastafel","Kursi, Lemari, Meja, Sprei, TV",Rp 1.500.000/bulan
Rulli House Dipatiukur Bandung,"Jl. Sukasari, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat",Kost Campur,Fully Furnished,No,No,Yes,No,No,No,"Nggak perlu panik cari kost dekat kampus lagi kalau kuliah di Bandung. Cek Rulli House Dipatiukur Bandung yang strategis ke kampus ternama di Bandung.Universitas Padjajaran (UNPAD) Dipatiukur hanya 2 menit berkendara, sementara mencapai ITB berjarak 6 menit dari kost di Bandung ini. Mahasiswa Universitas Komputer Indonesia (UNIKOM) bisa mencapai kampus sekitar 4 menit berkendara atau 12 menit berjalan kaki.Cari makan juga nggak akan bingung karena banyak pilihan kaki lima hingga resto kekinian. Ada Bubur Mang Engkus, Ayam Pedho Sukasari, McDonald’s Simpang Dago, hingga Toko You yang legendaris berjarak nggak sampai 10 menit berkendara.Rulli House Dipatiukur Bandung punya kamar berfurnitur lengkap dengan kamar mandi dalam, serta fasilitas dapur bersama, parkir motor, hingga laundry. Kamu tinggal bawa koper berisi pakaian saja kalau pindah ke kost Dipatiukur Bandung ini.Yuk, booking kamarmu sekarang untuk ngekost #SenyamanDiRumah!Cari kost lain di Bandung.",1,Compact Single with Window,"Luas kamar: 9,60m2","1 Tempat tidur (90x200) 1 orang, Termasuk listrik, Jendela kearah luar, 1 Kamar mandi, Kamar mandi dalam, Shower","Kursi, Lemari, Meja, Sprei, TV",Rp 1.500.000/bulan
Rulli House Dipatiukur Bandung,"Jl. Sukasari, Sekeloa, Kecamatan Coblong, Kota Bandung, Jawa Barat",Kost Campur,Fully Furnished,No,No,Yes,No,No,No,"Nggak perlu panik cari kost dekat kampus lagi kalau kuliah di Bandung. Cek Rulli House Dipatiukur Bandung yang strategis ke kampus ternama di Bandung.Universitas Padjajaran (UNPAD) Dipatiukur hanya 2 menit berkendara, sementara mencapai ITB berjarak 6 menit dari kost di Bandung ini. Mahasiswa Universitas Komputer Indonesia (UNIKOM) bisa mencapai kampus sekitar 4 menit berkendara atau 12 menit berjalan kaki.Cari makan juga nggak akan bingung karena banyak pilihan kaki lima hingga resto kekinian. Ada Bubur Mang Engkus, Ayam Pedho Sukasari, McDonald’s Simpang Dago, hingga Toko You yang legendaris berjarak nggak sampai 10 menit berkendara.Rulli House Dipatiukur Bandung punya kamar berfurnitur lengkap dengan kamar mandi dalam, serta fasilitas dapur bersama, parkir motor, hingga laundry. Kamu tinggal bawa koper berisi pakaian saja kalau pindah ke kost Dipatiukur Bandung ini.Yuk, booking kamarmu sekarang untuk ngekost #SenyamanDiRumah!Cari kost lain di Bandung.",2,Regular Single A,Luas kamar: 10m2,"1 Tempat tidur (90x200) 1 orang, Termasuk listrik, 1 Kamar mandi, Kamar mandi dalam, Shower, Wastafel","Kursi, Lemari, Meja, Sprei, TV",Rp 1.500.000/bulan
