ingredient_id,ingredient_name,season_start,season_end,calories,total_fat,saturated_fat,cholesterol,protein,carbohydrate,fiber,sugar,sodium
151,TOMATO,January,December,79,2.7,0.5,0,2,13.2,1.7,0,459
315,YOGURT,January,December,0,0,,0,0,0,0,0,
349,TURMERIC,January,December,0,0,0,0,0,0,0,0,0
983,CORIANDER,January,December,14,0.9,0,0,0.6,2.7,2.1,0,1
324,CINNAMON,January,December,19,0.1,0,0,0.3,6.3,4.1,0.2,0
512,CREMINI MUSHROOM,January,December,3,0.1,0,0,0.6,0.6,0.2,0.4,0
332,"MUSTARD, PREPARED",January,December,0,0,,0,0,0,0,0,
26,FETA CHEESE,January,December,396,31.9,22.4,133.5,21.3,6.1,0,6.1,1674
49,TAHINI,January,December,85,7.2,1,0,2.7,3.9,1.4,0,11
467,PARMESAN CHEESE,January,December,431,28.6,17.3,88,38.5,4.1,0,0.9,1529
224,CHOCOLATE,January,December,145,15.2,9.4,0,3.7,8.7,4.8,0.3,6
746,MOZZARELLA,January,December,159,0,0,20.3,35.8,4,2,1.7,839
657,TORTILLA,January,December,52,0.7,0.1,0,1.4,10.7,1.5,0.2,10
220,CHICKPEA,January,December,285,2.7,0.3,0,11.9,54.3,10.6,0,717
112,MANZANILLA OLIVE,January,December,3,0.4,0.1,0,0,0.1,0.1,0,42
363,GREEN ONION,January,December,32,0.2,0,0,1.8,7.3,2.6,2.3,16
359,SALT,January,December,0,0,0,0,0,0,0,0,6976
125,LEMON,January,December,0,0,,0,0,0,0,0,
350,VANILLA,January,December,599,0.1,0,0,0.1,26.3,0,26.3,18
106,POTATO,January,December,118,0.1,0,0,2.5,27.4,2.4,1.2,5
525,CIDER VINEGAR,January,December,50,0,0,0,0,2.2,0,1,11
292,ROMAINE LETTUCE,January,December,7,0.1,0,0,0.6,1.5,1,0.6,3
680,VINEGAR,January,December,42,0,0,0,0,0.1,0,0.1,4
498,BLACK OLIVE,January,December,5,0.5,0.1,0,0,0.3,0.1,0,32
297,SHRIMP,January,December,60,0.9,0.1,107.1,11.6,0.8,0,0,481
213,CARROT,January,December,25,0.1,0,0,0.6,5.8,1.7,2.9,42
493,WINE VINEGAR,January,December,0,0,,0,0,0,0,0,
110,MUSHROOM,January,December,2,0,0,0,0.3,0.3,0.1,0.2,0
203,LAMB,January,December,230,15.3,6.3,81.6,21.7,0,0,0,61
127,SHALLOT,January,December,7,0,0,0,0.2,1.7,0,0,1
217,CHARD,January,December,9,0.1,0,0,0.9,1.8,0.8,0.5,102
567,ZA'ATAR,January,December,0,0,,0,0,0,0,0,
209,BULGUR WHEAT,January,December,478,1.9,0.3,0,17.2,106.2,25.6,0.6,23
155,HONEY,January,December,1030,0,0,0,1,279.3,0.7,278.4,13
352,BACON,January,December,0,0,0,0,0,0,0,0,0
364,ZEST,January,December,5,0,0,0,0.1,1.5,0.6,0,0
502,ONION POWDER,January,December,23,0.1,0,0,0.7,5.5,1,0.5,5
310,TURKEY,January,December,0,0,0,0,0,0,0,0,0
259,LETTUCE,January,December,1,0,0,0,0.2,0.3,0.2,0.1,0
158,MACARONI,January,December,368,2.9,0.4,93.4,14.5,70.1,0,0,33
317,BASIL,January,December,1,0,0,0,0.2,0.1,0.1,0,0
307,SWEET POTATO,January,December,111,0.1,0,0,2,26.2,3.9,5.4,71
301,SPINACH,January,December,78,1.3,0.2,0,9.7,12.3,7.5,1.4,268
197,WHITE BEAN,January,December,672,1.7,0.4,0,47.2,121.7,30.7,4.3,32
78,SALMON,January,December,107,3.7,0.7,39.1,17.4,0,0,0,63
348,THYME,January,December,11,0.3,0.1,0,0.4,2.7,1.6,0.1,2
334,OREGANO,January,December,2,0,0,0,0.1,0.7,0.4,0,0
330,MINT,January,December,0,0,0,0,0,0,0,0,0
