name,tag
shou tucker,adult
shou tucker,alchemist
shou tucker,glasses
shou tucker,scientist
shou tucker,single parent
sakura haruno,headband
sakura haruno,ninja
sakura haruno,verbal tic
light yagami,analytical
light yagami,big ego
light yagami,charismatic
light yagami,god complex
light yagami,manipulative
light yagami,ruthless
light yagami,secret identity
sasuke uchiha,elemental powers
sasuke uchiha,exotic eyes
sasuke uchiha,fire powers
sasuke uchiha,lightning powers
sasuke uchiha,ninja
sasuke uchiha,orphan
sasuke uchiha,teleportation powers
sasuke uchiha,vengeful
danzo shimura,bandages
danzo shimura,beastmaster
danzo shimura,elderly
danzo shimura,ninja
danzo shimura,scar
naruto uzumaki,beastmaster
naruto uzumaki,birthmark / mole
naruto uzumaki,face markings
naruto uzumaki,headband
naruto uzumaki,hot-headed
naruto uzumaki,ninja
naruto uzumaki,orphan
naruto uzumaki,verbal tic
misa amane,hyperactive
misa amane,idol
misa amane,pigtails
near,analytical
near,detective
near,teenager
minoru mineta,cowardly
minoru mineta,crybaby
minoru mineta,high school student
minoru mineta,pervert
minoru mineta,small stature
minoru mineta,superpowers
minoru mineta,teenager
l,analytical
l,barefoot
l,detective
l,eye bags
l,sweet tooth
nina einstein,braids
nina einstein,glasses
nina einstein,high school student
nina einstein,pigtails
nina einstein,shy
nina einstein,student council
nina einstein,teenager
kabuto yakushi,analytical
kabuto yakushi,glasses
kabuto yakushi,headband
kabuto yakushi,healing powers
kabuto yakushi,ninja
kabuto yakushi,ponytail
nobuyuki sugou,adult
nobuyuki sugou,glasses
nobuyuki sugou,god complex
nobuyuki sugou,sadistic
mello,analytical
mello,sweet tooth
mello,teenager
orochimaru,adult
orochimaru,beastmaster
orochimaru,manipulative
orochimaru,necromancer
orochimaru,ninja
orochimaru,overly long tongue
orochimaru,piercings
orochimaru,ruthless
edward elric,alchemist
edward elric,arm blades
edward elric,artificial limb
edward elric,braids
edward elric,gloves
edward elric,hair antenna
edward elric,hot-headed
edward elric,military
edward elric,ponytail
edward elric,teenager
levi,adult
levi,military
levi,ruthless
levi,stoic
levi,sword fighter
excalibur,big ego
excalibur,comic relief
excalibur,hat
excalibur,shapeshifter
makoto itou,hair antenna
makoto itou,high school student
makoto itou,teenager
kirito,person in a strange world
kirito,sword fighter
kirito,teenager
kirito,video gamer
kirito,warrior
kuradeel,armor
kuradeel,bodyguard
kuradeel,cape
kuradeel,person in a strange world
kuradeel,ponytail
kuradeel,sword fighter
kuradeel,video gamer
kouichi shido,adult
kouichi shido,big ego
kouichi shido,glasses
kouichi shido,manipulative
kouichi shido,ruthless
kouichi shido,teacher
orihime inoue,broken record
orihime inoue,clumsy
orihime inoue,force field powers
orihime inoue,healing powers
orihime inoue,high school student
orihime inoue,superpowers
orihime inoue,teenager
malty s melromarc,magic user
malty s melromarc,manipulative
malty s melromarc,royalty
malty s melromarc,ruthless
akainu,abnormally tall
akainu,adult
akainu,hat
akainu,manipulative
akainu,military
akainu,muscular
akainu,ruthless
akainu,sailor
akainu,superpowers
akainu,tattoo
yukiteru amano,hat
yukiteru amano,middle school student
yukiteru amano,superpowers
yukiteru amano,teenager
charles zi britannia,adult
charles zi britannia,cape
charles zi britannia,facial hair
charles zi britannia,royalty
charles zi britannia,ruthless
charles zi britannia,scarf
charles zi britannia,tyrant
blackbeard,adult
blackbeard,cruel
blackbeard,darkness powers
blackbeard,elemental powers
blackbeard,eternal optimist
blackbeard,facial hair
blackbeard,gravity manipulator
blackbeard,hat
blackbeard,manipulative
blackbeard,missing teeth
blackbeard,pirate
blackbeard,ruthless
blackbeard,sailor
blackbeard,superpowers
sousuke aizen,agent of the afterlife
sousuke aizen,analytical
sousuke aizen,combat illusionist
sousuke aizen,glasses
sousuke aizen,invisibility powers
sousuke aizen,shinigami
sousuke aizen,sword fighter
yamori,abnormally tall
yamori,adult
yamori,big ego
yamori,big nose
yamori,bloodthirsty
yamori,exotic eyes
yamori,monster
yamori,muscular
yamori,no eyebrows
yamori,sadistic
yamori,unconventional weapon
gluttony,bald
gluttony,big eater
gluttony,big nose
gluttony,immortal
gluttony,overly long tongue
gluttony,overweight
gluttony,superpowers
suzaku kururugi,high school student
suzaku kururugi,martial artist
suzaku kururugi,mecha pilot
suzaku kururugi,military
suzaku kururugi,student council
suzaku kururugi,teenager
kakashi hatake,adult
kakashi hatake,anti-gravity hair
kakashi hatake,beastmaster
kakashi hatake,exotic eyes
kakashi hatake,gloves
kakashi hatake,headband
kakashi hatake,masks
kakashi hatake,ninja
kakashi hatake,scar
kitz woermann,adult
kitz woermann,cowardly
kitz woermann,facial hair
kitz woermann,military
envy,cruel
envy,gloves
envy,headband
envy,hot-headed
envy,human guise
envy,immortal
envy,sadistic
envy,shapeshifter
envy,superpowers
king bradley,dual wielder
king bradley,eye patch
king bradley,facial hair
king bradley,military
king bradley,sword fighter
ash ketchum,big ego
ash ketchum,child
ash ketchum,face markings
ash ketchum,gloves
ash ketchum,hat
ash ketchum,hot-headed
ash ketchum,hyperactive
ash ketchum,monster tamer
ash ketchum,traveler
kyubey,alien
kyubey,psychic powers
kyubey,stoic
kyubey,tail
arlong,adult
arlong,big ego
arlong,big nose
arlong,hat
arlong,muscular
arlong,piercings
arlong,pirate
arlong,racial purist
arlong,sailor
arlong,sharp teeth
arlong,tattoo
asuna yuuki,braids
asuna yuuki,cook
asuna yuuki,person in a strange world
asuna yuuki,sword fighter
asuna yuuki,teenager
asuna yuuki,video gamer
asuna yuuki,warrior
spandam,adult
spandam,cowardly
spandam,cruel
spandam,gloves
spandam,masks
spandam,military
spandam,ruthless
spandam,sword fighter
naoka ueno,bully
eren jaeger,hot-headed
eren jaeger,military
eren jaeger,sword fighter
eren jaeger,vengeful
kureo mado,detective
kureo mado,police
kureo mado,sadistic
kureo mado,unconventional weapon
karin,glasses
karin,ninja
yuno gasai,analytical
yuno gasai,broken record
yuno gasai,hair ribbons
yuno gasai,middle school student
yuno gasai,pigtails
yuno gasai,ruthless
yuno gasai,stalker
yuno gasai,superpowers
yuno gasai,teenager
annie leonhart,martial artist
annie leonhart,military
annie leonhart,stoic
annie leonhart,sword fighter
seryu ubiquitous,monster tamer
seryu ubiquitous,police
seryu ubiquitous,ponytail
ino yamanaka,florist
ino yamanaka,ninja
ino yamanaka,ponytail
ino yamanaka,psychic powers
akito sohma,adult
akito sohma,cursebearer
akito sohma,manipulative
akito sohma,sadistic
akito sohma,sickly
eclair tonerre,foreigner
eclair tonerre,teenager
eclair tonerre,wealthy
