creator,list_title,list_comments,list_likes
Halex,animes with a watching guide,18,318
Aerythrin,tearjerking anime,32,523
Bacon41,tear inducing anime,0,18
GeminiRabbit,anime with a completed manga,2,58
WolfAngelus,nostalgic themed anime  nostalgicpopular,0,58
Halex,naruto  watching guide,19,268
VongolaUndici1196,when you want something serious to watch,33,934
alala,alternate retellingcompilation movies of,3,20
Ryuubus,anime that aired in romania  animeuri di,2,15
AnnaSartin,halloween episodes in anime,1,21
Silvernotebook,my emotions though gun shots,17,465
Halex,code geass  watching guide,1,62
Mayank,all anime on netflix india,10,47
NorthPole,sports festival scenes in anime,1,3
Epimondas,most adult oriented rated r level or abo,61,635
NorthPole,video games anime,0,23
GeminiRabbit,sword art online watching guide,2,13
Halex,attack on titan  watching guide,4,163
InnocentSmile,anime seriesmovies with no ecchi scenes ,18,809
Morikochan,you cant call yourself an otaku if you d,9,207
Thanh2003,female protagonist animes,0,23
alala,romantic school dramascomedies,5,530
YariMari,anime badges,15,301
Burkirk,hate sink protagonist anime,0,2
captivus,best romance anime,19,353
Raikenzom,modern or futuristic context 2d donghuas,1,2
HH223,top anime for getting started,17,300
Halex,animes with incredible art,6,349
NorthPole,wafu fantasy anime,1,81
Re1nhard,anime available on disney hotstar,0,7
AnnaSartin,food and product commercials starring an,0,5
Halex,best animes from 2014,1,11
halochan,top 15  gruesome animes to watch,0,70
Feinraf,anime on netflix uk,2,27
Aerythrin,best anime music,13,105
NightTonight,must watch seinen dark fantasy anime  20,7,270
AnnaSartin,cute girls whose lives suck,5,113
KrisDFC,animes rebootsremakes,6,31
knoxyal,anime with official animated music video,2,23
EnjuAiharaFan,must watch anime  the greatest plots,8,959
knoxyal,official anime music videos amvs featuri,1,29
sothis,anime with overpowered op characters,21,579
ClawfootQueen,clawfoot bathtubs in anime,0,0
knoxyal,the ultimate shows for stress relief,3,96
Shirokuma,animes with reverse harem,27,756
