reviewer,date,anime_title,anime_year,score,first_sentence
ladieburd,10/26/2009,fullmetal alchemist,2003,8,full metal alchemist is an up and coming anime that is causing a lot of buzz
mahius,12/22/2015,fullmetal alchemist: brotherhood,2009,10,"fullmetal alchemist brotherhood is a 64 episode adventure action anime, a remake of a very popular anime, featuring some very interesting sci-fi-esque themes of alchemy"
trashcan007,12/11/2023,fullmetal alchemist: brotherhood: 4-koma theater,2009,1,i never really got into this silly 2d art style of anime
obitouzumaki,01/14/2019,boruto: naruto next generations,2017,1,all they did was copy a bit of naruto like for example team seven's first c ranked mission in naruto turned into a b rank the did the same thing with boruto his first c rank mission turned into a b ranked one then at the chunnin exam there's an invasion in naruto the sound and sand villages invade in boruto two members of the ōtsutsuki clan invade my other problem is that they made naruto weak i'm sure everyone can agree the naruto is god tier since he has six paths chakra the whole nine tails and some of the chakra from the other tailed beast he's a toad sage and he's the reincarnation of asura so how is it that he gets captured so easily by the ōtsutsuki why did he get stabbed so easily by shin my third problem is boruto himself he just annoys me he's bratty and for some reason he's chunnin level we didn't we that growth no training honestly i would have preferred they continued naruto or just stopped there no sequel 
bigdumbohface,10/10/2015,boruto: naruto the movie,2015,10,"today, on october 10, 2015, was day two of new york city comic con (nycc) but is also naruto's birthday"
beth0410,09/06/2020,boruto: naruto the movie - the day naruto became hokage,2016,10,this was a funny and heartwarming short movie to watch when naruto finally became the hokage
vivisqueen,01/08/2010,death note,2006,8.5,"enter the mind of a sociopath, light yagami"
nushinigami,01/11/2016,death note rewrite 1: visions of a god,2007,4,the plot of this compared to the series is a steaming pile of shit
flamespeedy,10/24/2012,death note rewrite 2: l's successors,2008,9,death note relight 2 is a recap of the orginal series episodes but with extended/remade scenes which should have been in the original but taken out or made later on
lordstar2,04/27/2020,naruto,2002,10,i watched naruto series overall 3 times
igugh0s7,08/06/2015,naruto shippuden,2007,7,i agree with most of the reviews stating way to may fillers and that they are poorly placed i do recomends skipping most of them but if you skip them all you will miss out on some good back story
devillmaycry,08/02/2016,naruto spin-off: rock lee & his ninja pals,2012,1,thats one of the mos boring and stupid shows that i have watched
bloom19,01/18/2023,road of naruto,2022,10,this is super awesome if you are a naruto fan like myself! >w< the animation was amazing! >///< (warning) but do not watch if you don't want spoilers because it shows the biggest events both happy and sad! <3 
eiraza,12/12/2017,my hero academia,2016,8,so i read reviews about this anime before posting one and i saw lots of other people's comparsion's to one punch man and i honestly don't get that vibe at all
mayobe,08/01/2017,my hero academia 2,2017,9,stan lee should be taking notes on this instead of trying to compete with it
woziu,08/07/2018,my hero academia 3,2018,10,everything in this anime is just perfect
kliu15,07/05/2024,code geass: dakkan no rozé,2024,8,"this is a rather pleasing continuation of code geass, depicting the skirmishes of battle and war even after the ""peace"" lelouch had established in the original code geass storyline"
lagore,12/10/2009,code geass: lelouch of the rebellion,2006,1,"wanna hear a joke?  what do you get when you combine all of the currently existing anime fandoms with bipolar characters, frenetic pacing, and a pizza hut commercial?  that's right!  you get code geass, the most evil show ever created by man"
